image_path,label,split
train/Metal/Metal_670.jpg,Metal,train
train/Metal/Metal_408.jpg,Metal,train
train/Metal/Metal_222.jpg,Metal,train
train/Metal/Metal_200.jpg,Metal,train
train/Metal/Metal_533.jpg,Metal,train
train/Metal/Metal_7.jpg,Metal,train
train/Metal/Metal_285.jpg,Metal,train
train/Metal/Metal_210.jpg,Metal,train
train/Metal/Metal_243.jpg,Metal,train
train/Metal/Metal_590.jpg,Metal,train
train/Metal/Metal_214.jpg,Metal,train
train/Metal/Metal_455.jpg,Metal,train
train/Metal/Metal_9.jpg,Metal,train
train/Metal/Metal_471.jpg,Metal,train
train/Metal/Metal_505.jpg,Metal,train
train/Metal/Metal_323.jpg,Metal,train
train/Metal/Metal_320.jpg,Metal,train
train/Metal/Metal_272.jpg,Metal,train
train/Metal/Metal_785.jpg,Metal,train
train/Metal/Metal_309.jpg,Metal,train
train/Metal/Metal_343.jpg,Metal,train
train/Metal/Metal_137.jpg,Metal,train
train/Metal/Metal_435.jpg,Metal,train
train/Metal/Metal_17.jpg,Metal,train
train/Metal/Metal_345.jpg,Metal,train
train/Metal/Metal_295.jpg,Metal,train
train/Metal/Metal_186.jpg,Metal,train
train/Metal/Metal_607.jpg,Metal,train
train/Metal/Metal_250.jpg,Metal,train
train/Metal/Metal_577.jpg,Metal,train
train/Metal/Metal_651.jpg,Metal,train
train/Metal/Metal_223.jpg,Metal,train
train/Metal/Metal_259.jpg,Metal,train
train/Metal/Metal_394.jpg,Metal,train
train/Metal/Metal_716.jpg,Metal,train
train/Metal/Metal_150.jpg,Metal,train
train/Metal/Metal_16.jpg,Metal,train
train/Metal/Metal_526.jpg,Metal,train
train/Metal/Metal_90.jpg,Metal,train
train/Metal/Metal_195.jpg,Metal,train
train/Metal/Metal_373.jpg,Metal,train
train/Metal/Metal_271.jpg,Metal,train
train/Metal/Metal_782.jpg,Metal,train
train/Metal/Metal_549.jpg,Metal,train
train/Metal/Metal_35.jpg,Metal,train
train/Metal/Metal_141.jpg,Metal,train
train/Metal/Metal_405.jpg,Metal,train
train/Metal/Metal_216.jpg,Metal,train
train/Metal/Metal_289.jpg,Metal,train
train/Metal/Metal_761.jpg,Metal,train
train/Metal/Metal_684.jpg,Metal,train
train/Metal/Metal_641.jpg,Metal,train
train/Metal/Metal_108.jpg,Metal,train
train/Metal/Metal_163.jpg,Metal,train
train/Metal/Metal_284.jpg,Metal,train
train/Metal/Metal_519.jpg,Metal,train
train/Metal/Metal_34.jpg,Metal,train
train/Metal/Metal_33.jpg,Metal,train
train/Metal/Metal_599.jpg,Metal,train
train/Metal/Metal_426.jpg,Metal,train
train/Metal/Metal_226.jpg,Metal,train
train/Metal/Metal_293.jpg,Metal,train
train/Metal/Metal_467.jpg,Metal,train
train/Metal/Metal_36.jpg,Metal,train
train/Metal/Metal_192.jpg,Metal,train
train/Metal/Metal_47.jpg,Metal,train
train/Metal/Metal_476.jpg,Metal,train
train/Metal/Metal_683.jpg,Metal,train
train/Metal/Metal_474.jpg,Metal,train
train/Metal/Metal_773.jpg,Metal,train
train/Metal/Metal_436.jpg,Metal,train
train/Metal/Metal_428.jpg,Metal,train
train/Metal/Metal_535.jpg,Metal,train
train/Metal/Metal_553.jpg,Metal,train
train/Metal/Metal_481.jpg,Metal,train
train/Metal/Metal_45.jpg,Metal,train
train/Metal/Metal_518.jpg,Metal,train
train/Metal/Metal_257.jpg,Metal,train
train/Metal/Metal_11.jpg,Metal,train
train/Metal/Metal_124.jpg,Metal,train
train/Metal/Metal_237.jpg,Metal,train
train/Metal/Metal_770.jpg,Metal,train
train/Metal/Metal_417.jpg,Metal,train
train/Metal/Metal_766.jpg,Metal,train
train/Metal/Metal_558.jpg,Metal,train
train/Metal/Metal_466.jpg,Metal,train
train/Metal/Metal_490.jpg,Metal,train
train/Metal/Metal_98.jpg,Metal,train
train/Metal/Metal_324.jpg,Metal,train
train/Metal/Metal_5.jpg,Metal,train
train/Metal/Metal_187.jpg,Metal,train
train/Metal/Metal_420.jpg,Metal,train
train/Metal/Metal_233.jpg,Metal,train
